adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
,,,['ordenado'],,,,salud fragil,,,condición,,,,equilibrio,,pelo,sudor,,,generar miedo,,,,,arrastrar,antiguo,,['pajaro'],,acción recoger,cuero,,corteza,,,poder ser regalo,glucós,feliz,['ternura'],politico,,terror,linea,blanca,util negocio,,,,,azar,,['planeta'],,pequeno,foco,,naturaleza,,,provocar efecto,acceder,,tristeza,,acción,valle,,gota agua salir ojo,triste,,criterio formado,,militar,,esperar imposible pasar,mal,,lujo,mentira,,,,asignación familiar,,corte carne asociado vacuno,apestoso,['sepultura'],naturaleza,,usar vaquero,,tranquilidad,,,,,brillo potente,,vejez,,,['copia'],,tranquilidad,parte esencial,necesitar,,,decepción,sentimiento contrario sentir él popular reconocer,,ofrendir,pago,valor,murcielago,soberbiar,país,asociado concepto persona agria,comunidad
,,,['complicado'],,,,usar lent,,,preparacion,,,,equilibrio,,barber shop,aceite,,,repulsion,,,,,pequeño,cueva,,['ave'],,campo,cierre borde,,envoltura,,,,sabor chocolate,sensación,['agradable'],pensamiento,,fantasma,tornado,grande,percepción demá,,,,,esfuerzo,,['constelación'],,arena,fuego,,trueno,,,acción provocar resultado,afiliar él,,arrepentimiento,,musculo,norte,,secreción ojo,inferioridad,,necesario,,fuerza armada,,divino,disparar,,rey,engaño,,,,asignación religioso,,parte carne animal buen sabor,feo,['cementerio'],cultivo,,poder,,lejania,,,,,ceguera momentanea,,pensar futuro,,,['similar'],,cuidado,nacimiento nuevo,auxilio,,,cansancio,,,ofrendir,obligacion,existir,vlad,creido,dinero,liquido beneficioso salud,lazo
,,,['difícil'],,,,usar faldar,,,flor,,,,ying yang,,espuma afeitar,,,,cuerpo podrir,,,,,vivir tierra mar,selva,,['pañal'],,fruta verdura,punto operación,,delgado,,,,sentimiento agradable,necesario,['bonito'],masa,,asustar,test,monumento,ranguir,,,,,término,,['espacio exterior'],,polvo,humo,,relampago,,,tener dirección camino,penetrar,,fallo,,movimiento,oasis,,gota salir ojo emoción,empatiar,,requerido eventualmente,,orden,,dios,provocar daño,,cabeza monarquía,escenario,,,,persona acompañar aun ser vida,,fierro sostenedor cambiar repuesto pesado,barro,['cristo'],vegetación,,proteccion,,lugar gente,,,,,luz blanco,,reservado,,,['parecido'],,salud,reforestacion,asistir,,,preocupación,,,rendir honor,perdido excesivo tiempo,respaldo,estaco,mostrar bien hacer cosa,aventura,,union
,,,['estratégico'],,,,tejar,,,tratado,,,,pesar,,locion,,,,hueso,,,,,vivir tierra mar,bosque,,['vuelo'],,fruta verdura,borde saco,,nuez,,,,alguien dulce,animo,['atractivo'],despersonalizacion,,monstruo,visión,reconocimiento,posicion,,,,,finalidad,,['astronauta'],,mueble cocina,herrero,,succionar,,,acto cambiar opcion,entrada,,problema,,fisicar,silencio,,gota secretar planta arbol,solidaridad,,alguien mayor edad,,obligatorio,,jesus,destructivo,,autoritario,vestimento,,,,rol personal sacramento catolicismo,,carne vacuno cacerola,lugar cocodrilo,['grande dimensión'],aire limpio,,inseguro,,,,,,,semejanza,,ahorro,,,['respuesta'],,medicina,vida,proteger,,,nariz,,,recordar,problema,aceptable,figurar mitológico época antiguo,arrogante,campo,,matrimonio
,,,['inteligencia'],,,,horneo galleta,,,tranfugo,,,,exactitud,,corte pelo,,,,autopsia,,,,,moluscir,explorar,,['adulto'],,oficio,bordar pantalon,,parte externa fruta,,,,sabor dulce,relación interpersonal,['belleza'],publico,,temor,ilusión,duro,prestigio,,,,,vacio,,['fisicar'],,mineral,calor,,desastrar natural,,,,dinero,,emocion,,gravedad,vida simple,,forma gota colgar lampara,tristeza leve,,conocimiento,,poder tener ver político,,iglesia,volar,,corona,instalacion,,,,persona recibir bautismo aun hijo,,herramienta rural usado agricultura,verde,['edificación funerario muerto'],animal,,daño,,,,,,,imagen invertido,,paisaje natural,,,['doble'],,,nacimiento,defender,,,pulmón,,,homenaje,transitar lugar concurrido,autenticidad,criatiura usado representar oscuridad,inutil,ciudad,,link
,,,['logica'],,,,persona mayor edad,,,acuerdo,,,,ponderacion,,caro,,,,muerte,,,,,invertebrado,mineral,,['embarazo'],,alimento,,,protección,,,,cara beber,alegrio,['lindo'],conjunto,,horror,fideo,fijo,sociedad,,,,,preocupación,,['quimicar'],,clase rocar diferente textura,temperatura,,daño,,,,apertura,,depresion,,esfuerzo,plantación,,lubricante ojo,emocion sutil,,tomar buena decisión,,tiempo cargo público,,inesperado,guerra,,dinero,falso,,,,rol persona sacramentir matrimonio,,barra sostenedorar aplicar fuerza resistencia,sucio,['monumento recordar muerto'],tierra,,homicidio,,,,,,,espejo,,guardar puesto objeto,,,['rehacer'],,,comenzar,apoyo,,,alivio,,,agradecer,obtener papel,calificación,asociado familia murciélago,servir,playa,,fusion
,,,['juego'],,,,poder poseer alguno discapacidad,,,modificacion obra musical,,,,movimiento,,modelo,,,,malestar,,,,,animal,historia,,['niño'],,epocar año,,,duro,,,,apodo persona,feliz,['guapo'],agrupacion,,alejar,problema,inamovible,nivel,,,,,éxito,,['cielo'],,clase rocar diferente textura,noche,,peligro,,,,abundancia,,nostalgia,,fuerza,fruta,,liquido ojo servir limpiar organo ocular,condolencia,,actitud acorde sociedad exigir edad especifico,,,,común,ruido,,mandar demá,conveniente,,,,persona cuidar aun hijo estar padre padre,,barra sostenedorar aplicar fuerza resistencia,peligro,['edificación antiguiedad asociado culto'],sembrar,,robo,,,,,,,cristal,,,,,['imitar'],,,pequeño,colaborar,,,postre,,,nostalgia,accion necesario,experimento,ser subsionar sangre ser,cualidad,valentia,,relacion dos persona
,,,['tabla'],,,,pelo blanco,,,reparar roto,,,,pesos,,,,,,pesar,,,,,lento,explorador,,['nacimiento'],,frase biblico,,,poder ser porós,,,,rostro niño,anelar,['amoroso'],grupo persona,,ahuyentar,complejidad,obra arte,clasificacion social,,,,,poder ser dinero,,['estrella'],,rocar pequeño,frío,,correr,,,,trabajo,,pena,,trabajo,paisaje,,lubricante mantener saludable ojo,arrepentimiento menos significativo,,desarrollo completo,,,,dificil,intranquilidad,,sirvient,conveniente,,,,figurar padre cristiano cuidar aun hijo dar bautismo,,corte carne parrillero,silencio,['templo dedicado dios antiguedad'],animal,,arma mas utilizar,,,,,,,copia,,,,,['plagio'],,,proyecto,necesitar asistencia,,,relajación,,,velar,intentar evitar,ciencia,ser mitologico vivir oscuridad,ego,audacia,,familia
,,,['dos jugador'],,,,piel arrugado,,,herramienta,,,,equilibrio,,,,,,perder ser querido,,,,,animal,agua,,['ropa beber'],,esfuerzo,,,romper,,,,casa dulce,persona,['preocupado'],,,susto,bucle,premio,puesto,,,,,enriquecer él,,['futuro'],,rocar granular,combustión,,guarecer él,,,,ir,,dolor,,sol,plano,,,pesar,,edad adulta,,,,imposible suceder,guerra,,,creado,,,,,,,lugar evitar,,largo,,tiroteo,,,,,,,agua limpio,,,,,['copiar'],,,futuro,poder solucionar si mismo,,,exhausto,,,honrar,ajetreo,profesionalismo,personaje cuento terror,necesitar aprobación social,persona nomadar,,amistad
,,,['pieza'],,,,lentitud movimiento,,,acuerdo legal,,,,medir,,,,,,susto,,,,,come planta,humedad,,['ave'],,campo,,,desechable,,,,imagen tierna,cambio inmediato,['agradable'],,,miedo,vuelta,poder ser grande pequeño,vision resto,,,,,tener suerte,,['inmensidad'],,rocar compuesto cuarzo,construcción fuego,,salvar él,,,,recepcion dinero,,sufrimiento,,equinoccio,color verde,,,situacion deseado,,etapa desarrollo,,,,religioso,destrucción,,,editado,,,,,,,vida,,verde,,creador problema,,,,,,,dimensión paralelo,,,,,['responder'],,,embarazo,emergencia,,,respiracion,,,pasado,latoso,autoridad,personaje utilizado folcklore,inseguridad interno,diferente idioma,,conocido
,,,['regla'],,,,segundo madre,,,dar termino,,,,comparar,,,,,,angustiar,,,,,romper hoja jardin,estalactita,,['pata larga'],,rural,,,guardar importante,,,,torta,superfluo,['bello'],,,exalto,infinito,personalidad importante,poder,,,,,,,['hogar'],,rocar ocupado construcción,carbón,,viento,,,,entrar fisicamente lugar,,desesperacion,,oeste,pasto,,,compasión,,cambio mentalidad,,,,suerte,muerte,,,intervenido,,,,,,,suciedad,,casa,,diaparo,,,,,,,igual,,,,,['poder ser verbal escrito'],,,brote,peligro muerte,,,intenso,,,importante,aburrido,reconocimiento,especie murciélago subsionar sangre,superficialidad,entusiasta,,conectividad
,,,['diagonal'],,,,madre,,,enmendar,,,,libra,,,,,,frío,,,,,morir sal,,,['pluma'],,trigo,,,contener vitamina,,,,,inestabilidad,['fascinación'],,,agitación,negro,historia,reconocimiento,,,,,,,"['fisicar', 'astronomia']",,rocar usado gemoterapia,bruja,,desordir,,,,entrar conceptualmente organizacion,,tristeza,,punto cardinal,,,,misericordia,,antiguedad,,,,fortuna,militar,,,veraz,,,,,,,pudredumbre,,familia,,robo,,,,,,,réplica,,,,,['poder ser verbal escrito'],,,esperanzador,situación grave,,,melancolico,,,ingreso,consumidor tiempo,subordinado,ser imaginario reproducir película,relacionado aspecto físico,pionero,,relacion concepto
,,,['ganar'],,,,preocupado,,,cohecho,,,,masa,,,,,,pálido,,,,,conchaber,,,"['come hierba', 'insecto', 'pez pequeño']",,uso agua,,,aislación,,,,,heroismo,['agraciar'],,,tembloroso,funcion matematico,recuerdo,nivel,,,,,,,['nave espacial'],,aumento cutáneo,calor,,tragedia,,,,cambio,,llanto,,norte,,,,piedad,,sensatir,,,,destino,explosión,,,fake news,,,,,,,pegajoso,,lugar,,muerte,,,,,,,dualidad,,,,,['temblor pequeño después grande'],,,bueno,poder ser broma,,,pensativo,,,voluntario,facil,padre,grupo musico popular,importancia extremo apariencia,constante movimiento,,materno
,,,['blanco'],,,,sabidurio,,,unir,,,,herramienta,,,,,,morgue,,,,,babós,,,"['come hierba', 'insecto', 'pez pequeño']",,abundancia,,,parte,,,,,romanticismo,['amable'],,,grito,dibujo,antiguo,jerarquizar,,,,,,,['estudio'],,erosion infeccioso,fuego,,fenómeno climático,,,,escribir,,abandono,,sur,,,,desprecio,,vejez,,,,dios,metal,,,sensacionalismo,,,,,,,insecto,,vacación,,maldad,,,,,,,semejanza,,,,,['hacer forma similar'],,,café,urgencia,,,aire,,,dinero,mecanico,educación,,soportar ver mejor,traslado lejano,,complicidad
,,,['negro'],,,,ultimo etapa,,,solucionar,,,,porcion,,,,,,muerte,,,,,centro comercial 80,,,['pico largo'],,hectarea,,,fruta,,,,,animal,['simpatico'],,,atrocidad,forma,vandalismo,disponibilidad,,,,,,,['complejidad'],,erosion piel,madera,,pelicular,,,,transcribir,,soledad,,hacia arriba,,,,condescendencia,,adultez,,,,coincidencia,trauma,,,video,,,,,,,oloroso,,grande,,asalto,,,,,,,introspección,,,,,['hacer nuevamente pintura'],,,naturaleza,mas urgente pedir ayuda,,,expulsión masivo aire,,,gobierno,notar,felicidad,,meritoso,limit,,lazo
,,,['sentado'],,,,mujer,,,matriz,,,,balancin,,,,,,oscuridad,,,,,tienda bouticar,,,['vivir bandada'],,agricultura,,,verdura,,,,,ansía,['magia'],,,mantener distancia,circulo fin,belleza,escalonado,,,,,,,['incertidumbre'],,,tortura,,unido,,,,dinero,,desconsolar,,subir,,,,empatir,,independencia,,,,duda,poder,,,cómico,,,,,,,desagradable,,patio,,poder,,,,,,,luz,,,,,"['discusión', 'respuesta']",,,raíz,ayuda,,,respirar,,,religión,requerir pensar,valorado,,egocentrico,libre,,unico
,,,['deporte'],,,,fragil,,,coludir,,,,contrapeso,,,,,,estetico oscuro,,,,,oscuro,,,['representar llegada beber'],,granjero,,,recubrimiento,,,,,anhelo,['sensitimiento'],,,miedo,numero oro,representacion,privilegiar,,,,,,,['infinito'],,,grito,,fuerza descomunal,,,,influjo,,deshausciar,,cielo,,,,vergüenza ajena,,crecer,,,,incomprension,subyugación,,,actuación,,,,,,,turbio,,campo,,inseguridad,,,,,,,agua,,,,,"['discusión', 'respuesta']",,,fruto,senal auxilio,,,exhalar,,,,importancia,esfuerzo,,narcisistar,extranjero,,necesitar trabajo
,,,['juego'],,,,enfermedad,,,ordenar,,,,peso corporal,,,,,,death metal,,,,,lento,,,['realizar graznido'],,plantacion,,,superficie,,,,,esperar intensamente,['persona'],,,asombro,gira,momento importante,,,,,,,,['lleno'],,,obscuro,,naturaleza,,,,consumo,,arrepentimiento,,pesa,,,,tristeza,,hombre,,,,luz,maldad,,,obra teatro,,,,,,,cochino,,grande,,herido,,,,,,,espejo,,,,,['seguir movimiento persona'],,,planta,peligro,,,bocar,,,,irrelevante,busqueda fin,,soberbiar,forastero,,sociabilizar
,,,['tablerir'],,,,camilla,,,unir,,,,necesario receta,,,,,,satanismo,,,,,producir bar baboso,,,['cuidar cria pareja'],,comida,,,proteccion,,,,,sentimiento,['bueno'],,,incierto,volver,guerra,,,,,,,,['desconocido'],,,antiguo,,peligro,,,,transaccion,,pena,,elevador,,,,ternura,,mujer,,,,imposible,guerra,,,cuadro,,,,,,,planta,,metraje,,tiroteo,,,,,,,ventana,,,,,['suplantación persona'],,,poroto,emergencia,,,aire,,,,lentitud,cientifico,,arrogancia,caminante,,circulo
,,,['estrategia'],,,,lent lectura,,,relacionar,,,,desanima,,,,,,descanso,,,,,caparazón,,,['empolla'],,recurso,,,natural,,,,,pasión,['buscar'],,,desconocido,ventilador,mover,,,,,,,,['hermoso'],,,medieval,,daño,,,,transferencia,,angustiar,,fuerza,,,,disgusto,,hacer él cargo acción propio,,,,positivo,conflicto,,,video,,,,,,,lodo,,flora fauna,,matanza,,,,,,,,,,,,['vez'],,,trigo,correr,,,aliento,,,,hoja,historico,,engreer,deambulante,,unión
,,,['pieza'],,,,arruga,,,conciliar,,,,indispensable creación producto,,,,,,pena,,,,,casco,,,,,uso suelo,,,nutrient,,,,,sensación,['bueno tener él'],,,escalofrio,helice,poder servir decoración,,,,,,,,['inexplorado'],,,amarrar,,catastrofir,,,,entrada,,empatiar,,levantar él,,,,tristeza,,asumir,,,,in pensado,tecnología,,,película,,,,,,,cerdo,,flora fauna,,defensa personal,,,,,,,,,,,,['nuevo'],,,,atrapado,,,relajado,,,,firma,orgullo,,cuento,experimentado,,sentimiento pertenencia
,,,['habilidad'],,,,descansar,,,acordar,,,,grato ver él,,,,,,depresión,,,,,hoja,,,,,duradero,,,fruta,,,,,amor,,,,tembloroso,viento,museo,,,,,,,,['vasto'],,,fuego,,desastrar,,,,admisión,,desesperación,,acción,,,,ineptitud,,ver realidad,,,,sorprendente,diferencia,,,,,,,,,,cocodrilo,,rio,,asalto,,,,,,,,,,,,['recuento'],,,,necesidad,,,enojado,,,,actividad,veridico,,orgullo,preparado,,fuerte
,,,['control'],,,,historia,,,programación,,,,peso,,,,,,muerte,,,,,naturaleza,,,,,comestible,,,proteccion,,,,,ira,,,,susto,velocidad,poder ser mármol,,,,,,,,['movimiento'],,,brasa,,lluvia torrencial,,,,incorporación,,tedio,,fútbol,,,,sentimiento,,autoconcimiento,,,,impresionante,politico,,,,,,,,,,fanguir,,tierra,,delincuencia,,,,,,,,,,,,['repetición'],,,,asistencia,,,hartar,,,,obligación,cierto,,desagradable,historia,,compromiso
,,,['inteligencia'],,,,año,,,acuerdo,,,,negro blanco,,,,,,frio,,,,,ojo antena,,,,,trabajador,,,verdura,,,,,odio,,,,inquietante,movimiento,escultura,,,,,,,,['constante cambio'],,,oxigeno,,viento,,,,adentrar él,,situacion complejo,,españa,,,,pena,,dificil,,,,suerte,guerra,,,,,,,,,,peligro,,huerto,,miedo,,,,,,,,,,,,['reiterar'],,,,bengalar,,,silencioso,,,,agobio,real,,creencia sentir él superior,interesante,,relacion
,,,['jugada'],,,,sabiduer,,,conjunto,,,,número,,,,,,morgue,,,,,trepador,,,,,productivo,,,alimento,,,,,alegría,,,,inseguridad,vuelta,,,,,,,,,['atemporal'],,,viento,,agresivo,,,,sueldo,,duda,,,,,,,,adultez,,,,espontáneo,destrucción,,,,,,,,,,miedo,,lampa,,disparo,,,,,,,,,,,,['sismo'],,,,grito,,,suave,,,,,confirmable,,sentimiento excesivo creer él mejor habilidad,nomado,,cercania
,,,['jugar 2'],,,,viejo,,,dato,,,,kilo,,,,,,oler mal,,,,,animal,,,,,cansador,,,nutrient,,,,,sentimiento,,,,aliento,marear,,,,,,,,,['inconmensurable'],,,madera,,peligroso,,,,entrar,,cuestionamiento,,,,,,,,desarrollo cerebral,,,,mejor resultado,arma,,,,,,,,,,angustiar,,zona rural,,bala,,,,,,,,,,,,['parecer'],,,,solicitar auxilio frente problema,,,respiracion,,,,,estudio,,acción cuidar él exceso belleza,cultura,,sanguineo
,,,['pieza'],,,,pelo gris,,,valor,,,,,,,,,,entierra bajo tierra,,,,,lento,,,,,manzana,,,saludable,,,,,tristeza,,,,,tornado,,,,,,,,,['grande'],,,fogata,,imposible detener,,,,cambio,,posibilidad,,,,,,,,año,,,,intervención divino,explosión,,,,,,,,,,café,,espacio,,robo,,,,,,,,,,,,['similar'],,,,ayuda solicitar persona,,,aire,,,,,fundamentar,,asemejar soberbiar,avion,,familia
,,,['tablerir'],,,,anticuado,,,numero,,,,,,,,,,poder cremar,,,,,biscoso,,,,,calor,,,,,,,,llanto,,,,,matemático,,,,,,,,,['desconocido'],,,fuego,,natural,,,,sueldo,,sentimiento,,,,,,,,complejo tener,,,,asombroso,poder ocasionar muerte,,,,,,,,,,selva,,condominio,,portonazo,,,,,,,,,,,,['repercusión movimiento'],,,,situación peligro pedir ayuda,,,bocar,,,,,real,,sentimiento aparentar ser superior,auto,,sociedad
,,,['madera'],,,,adorable,,,entero,,,,,,,,,,pulso,,,,,come hoja,,,,,sombrero sol,,,,,,,,pena,,,,,línea,,,,,,,,,['colorir'],,,bruja,,destruccion,,,,ganancia,,triste,,,,,,,,incierto,,,,mágico,cohete,,,,,,,,,,amazona,,patio,,arma,,,,,,,,,,,,['acción indicar argumento'],,,,acción solicitar auxilio necesidad,,,decepcion,,,,,confiable,,rasgo provocar malestar demá,cámara,,conexion
,,,['age of empir'],,,,ropa tejido,,,persona,,,,,,,,,,,,,,,caf,,,,,cesta,,,,,,,,musico clasicar,,,,,gráfico,,,,,,,,,['hermosa'],,,asar malvavisco,,inundación,,,,futbol,,sentir dolor,,,,,,,,inteligencia,,,,extraordinario,,,,,,,,,,,agua,,amplitud,,disparar,,,,,,,,,,,,['movimiento permanente despu sismo'],,,,aflixion intenso solicto apoyo,,,respiración,,,,,metodo,,cuidar él exceso fisico,turista,,union
,,,['libro'],,,,cocinerar,,,estrechar mano,,,,,,,,,,,,,,,solitario,,,,,arbol,,,,,,,,piano,,,,,dibujo,,,,,,,,,['extensar'],,,reunir él circulo,,viento,,,,remplazo,,arrepentir él,,,,,,,,adulto,,,,raro,,,,,,,,,,,suciedad,,naturaleza,,poder matar alguien,,,,,,,,,,,,['etapa procedimiento derecho procesal'],,,,asistencia ayudar alguien peligro,,,tranquilidad,,,,,certificar,,rasgo implicar cuidado permanente,explorar,,alineado
,,,['competición'],,,,gato,,,confianza,,,,,,,,,,,,,,,comida,,,,,fruta,,,,,,,,recuerdo,,,,,,,,,,,,,,['infinitar'],,,fuego,,destrucción,,,,entrar alguno lugar,,,,,,,,,,inteligencia,,,,dios,,,,,,,,,,,planta,,animal,,usar asaltante,,,,,,,,,,,,,,,,situación amparo frente necesidad,,,relajación,,,,,universal,,,,,junto
,,,['nerviosismo'],,,,abuela,,,flor,,,,,,,,,,,,,,,daña sal,,,,,sol,,,,,,,,fotografía,,,,,,,,,,,,,,['estrella'],,,madera,,trópico,,,,dinero cada persona,,,,,,,,,,independencia,,,,religión,,,,,,,,,,,árbol,,casa,,usar posible portar,,,,,,,,,,,,,,,,acción pedir ayuda frente aun imprevisto problema,,,desepción,,,,,autoridad,,,,,relacion
,,,['falta tiempo'],,,,malhumorado,,,poder arreglar mueble,,,,,,,,,,,,,,,,,,,,,,,,,,,,poder ser universal,,,,,,,,,,,,,,['planeta'],,,calor,,muerte,,,,sueldo,,,,,,,,,,adaptación,,,,,,,,,,,,,,,peligro,,arbol,,necesitar bala,,,,,,,,,,,,,,,,señal utilizar pedir ayuda,,,acción,,,,,comprobar,,,,,enlazado
,,,['blanco negro'],,,,pobre,,,arreglar objeto,,,,,,,,,,,,,,,,,,,,,,,,,,,,poder ser cultural,,,,,,,,,,,,,,['humanidad'],,,cocina,,lluvia,,,,dificil,,,,,,,,,,tolerancia,,,,,,,,,,,,,,,poder haber cocodrilo,,tranquilidad,,distinto tipo,,,,,,,,,,,,,,,,nombre persona,,,,,,,,realidad,,,,,link
,,,['diseño historico'],,,,abuela,,,mal pasar buen,,,,,,,,,,,,,,,,,,,,,,,,,,,,felicidad,,,,,,,,,,,,,,['extraterrestr'],,,luz,,paraiso,,,,,,,,,,,,,,actúar cautela,,,,,,,,,,,,,,,,,campo,,gatillo,,,,,,,,,,,,,,,,,,,,,,,,respaldo,,,,,lazo
,,,['logico'],,,,vejez,,,reparacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,tristeza,,,,,,,,,,,,,,['nave espacial'],,,acogedor,,méxico,,,,,,,,,,,,,,condición,,,,,,,,,,,,,,,,,alejado,,policia llevar,,,,,,,,,,,,,,,,,,,,,,,,argumento,,,,,atado
,,,['inteligente'],,,,sabidurio,,,difícil hacer ocasión,,,,,,,,,,,,,,,,,,,,,,,,,,,,enojo,,,,,,,,,,,,,,['astronauta'],,,fogata,,cambio climatico,,,,,,,,,,,,,,forma ver mundo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debate,,,,,semejante
,,,['estrategico'],,,,cana,,,floral,,,,,,,,,,,,,,,,,,,,,,,,,,,,asco,,,,,,,,,,,,,,['espacio'],,,,,ver clima,,,,,,,,,,,,,,fruta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frase,,,,,lazo
,,,['requerir reflexión'],,,,mayor,,,depender contexto uso palabra,,,,,,,,,,,,,,,,,,,,,,,,,,,,temor,,,,,,,,,,,,,,,,,,,lluvia viento,,,,,,,,,,,,,,comestible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conexión
,,,['calmar'],,,,enfermedad,,,complejo,,,,,,,,,,,,,,,,,,,,,,,,,,,,ver pelicular,,,,,,,,,,,,,,,,,,,lluvia viento,,,,,,,,,,,,,,adulto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,relación
,,,['complejo'],,,,señora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ver alguien ver hacer tiempo,,,,,,,,,,,,,,,,,,,destruir cosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amor
,,,['necesitar practicar'],,,,baston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,felicidad,,,,,,,,,,,,,,,,,,,poder causar muerte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sangre
,,,['juego'],,,,pelo blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gritar,,,,,,,,,,,,,,,,,,,caos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,familia
,,,['concatenar'],,,,faldar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intenso,,,,,,,,,,,,,,,,,,,destruccion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maternidad
,,,['intrincado'],,,,conservador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recordar,,,,,,,,,,,,,,,,,,,pena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,['bello'],,,,tradicional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,contagia alegrio,,,,,,,,,,,,,,,,,,,separacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,['pensar'],,,,sabidurio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muerte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,['paciencia'],,,,longevidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,['matemática'],,,,galleta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,['genialidad'],,,,abuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,['inteligencia'],,,,enferma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,['tranquilidad'],,,,dificultad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,['silencio'],,,,amoroso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,['creatividad'],,,,cocina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,['victoria'],,,,ayuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,['deporte'],,,,tratar bien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
