,acuerdo,agradecimiento,amenaza,ansiedad,compasión,culpa,decisión,definición,desesperación,destreza,esperanza,excusa,felicidad,ganancia,habilidad,honestidad,obligación,obsesión,oportunidad,peligro,pensamiento,plan,razón,seguridad,sugerencia,verdad,éxito
1389,contrato,forma de dar gracias a alguien o algo,problema,cuestionarse en demasia,empatía,Causa gran angustia,cambia la realidad de antes de hacerlo y la de despues ,cuando le explicas a alguien una cosa ,pánico,practica,Luz al final del camino,Es una manera de mentir ,No estar triste,adquisición de cosas positivas,algo personal e independiente de otra persona,lealtad,es el correlato de todo derecho,Solo quiere una cosa,acuardo implicito entre personas,situacion impredecible,imaginacion,Idea,se usa mucho en las matemáticas,evidencia,recomendación,Esta muy asociada a la confianza,Motivo de orgullo 
1390,puntos en común con alguien,estar agradecido significa apreciar lo que otro hacen por uno mismo,ofensa,inseguridad,comprender la especial situación del otro,Su solucion es reconocer que se ha cometido un error,Punto de inflexión,esta en los libros ,temor,habilidad,Fé,justificación,Es un sentimiento o estado,dinero recibido por la venta de algo,Poseer una capacidad mayor a la que otros poseen,transparencia,vincula a las personas a realizar una determinada acción,Necesidad de algo,opcion,tsunami,los psicologos lo estudian,Pasos a seguir,muy usado ciencias físicas,consentimiento,Idea que da una persona a otra,No existe una absoluta,Todas las personas lo buscan 
1391,estar en sintonía con alguien ,gratitud,ataque,nerviosismo,piedad,La sienten personas que hacen cosas malas ,Elección,caracteristicas de algo,miedo,resultados positivos,Creer en que vendrán tiempos mejores,Cuando uno da un pretexto ,Alegria,Ingreso,Los futbolistas poseen una mayor ………… que el resto para jugar futbol,respeto,mandato,Enfocarse solo en una cosa,las personas se sienten agradecidas gracias a esto,en chile se vive en constante ,imagen mental,Una mision no es nada si no posee un buen… ,relacionado con pensamientos ordenados,me siento protegido,Consejo ,Sinceridad,Poder 
1392,trato,muestra de gratitud,representa un riesgo,genera accionar precipitado,humanidad,Es el primer paso a la sanacion de una mala sensacion,Prioridad,aparece una palabra con dos puntos y una explicacion,problemas,habilidad,Optimismo,Lo que dices para safarte de hacer algún deber,Se demuestra con sonrisas,Suma en un capital,O también pueden desarrollarse con práctica,es un atributo,orden,No poder vivir sin algo,al buscar trabajo uno las busca ,advertencia ,razonamiento,idea ,análisis crítico,carabineros,Ayuda ,Cuando uno dice las cosas con franqueza,Lograr algo
1393,pacto,Cuando demuestras gratitud,es peligroso,trastorno psicológico,misericordia,Sentimiento negativo,Define el futuro,tambien se puede ver en la calidad de las teles ,reacción ante situaciones poco favorables,cuando alguien es bueno en alguna disciplina,aspiraciones,Invento verbal de un plan para lograr evitar un compromiso,Es contagiosa,Las personas que reciben un sueldo la tienen,Normalmente se obtienen despúes de mucho esfuerzo,se dice la verdad,imperatividad,No querer compartir algo,al buscar una mejor opcion uno la busca ,aviso previo frente a una situacion,todos lo necesitamos,se encuentra en el inicio de un proyecto ,cuando algo esta acertado,pdi,Cuando necesito ayuda sobre algo pido una,Aseveración,cumplir una meta
1536,quedas de hacer algo con alguien,estar satisfecho con el otro,enfrentamiento,lectura errada y sobreestimulada del acontecer,Sentimiento de empatia,Se siente cuando uno no se siente bien con las acciones que realizó,Suele generar arrepentimiento,cuando algo es concreto en los bordes ,descontrol,cuando tenemos dominio sobre algo,probabilidades de que algo se cumpla,"Palabras que sirven para ""tapar"" un acto que sabes es incorrecto.",Abunda cuando estas con amistades,"Hay distintos tipos de ella, ya sea en plano material y emocional.",Lo contrario a discapacidad,sinceridad,coacción,manía,viajar ,señaletica de,debido a el es que hacemos lo que hacemos,es una manera organizada de dar con algo ,cuando algo es lógico,confort,Preguntar por lo que el otro cree que es mejor ,certeza,rendir bien
1537,consenso entre una o mas partes,reconocer el gesto de la otra entidad,enemigo,acto que perjudica al organismo,Sentimiento que sirve para ayudar al resto ,Se siente despúes de cometer algún error tonto,Debe meditarse ,Explicación ,desenboca en malas decisiones,la poseen los deportistas,aplica solo para situaciones que acontecerán en el futuro ,justificacion ,Chocolates,Positiva,Don,Cualidad humana,liga a un sujeto a un actuar,lo padecen los acumuladores,hay personas que la toman y otras que no ,probabildiad de salir dañado,pueden ser positivos o negativos,puede generarse de manera individual o grupal,Muy importante en la antigüedad,mama,consejo ,certidumbre,El objetivo de todos en la vida
1538,ceder,sentirse en deuda con el otro ,condicional,"comer en exceso, beber demasiado, fumar en exceso, etc",Entender la situacion del otro ,Cuando me siento mal hago un mea ……,Repercute ,Relata la esencia,estrés,lo que nos permite triunfar en determinada area,deseo de que suceda algo en el futuro,justificar algo ,realización,Recompensa,Facilidad,sirve para mejorar la convivencia,Es el deber hacer algo,cualidad,"cuando la tomas, ganas muchas cosas ",manera de entender algo,es lo que piensa una persona,maquinación ,es un fundamento,comodiad absoluta,darle ideas sobre algo a una persona,no decir mentiras,Cuando se logra completar algun desafío
1539,entendendimiento,estar contento con el otro,jaque ,acto que conduce a hacer cosas en exceso,Se ve mucho en programas solidarios,Sentimiento que surge al hecer algo mal,Elige un camino,Busca la simpleza e universalidad,acciones precipitadas,habilidad,concepto mas bien romantico,decir algo para salir de aprietos ,plenitud,Se obtiene luego de un gran esfuerzo,Cultivada con la repetición,Se asume que todos la poseen,Una especie de compromiso,se llama igual que una galletas costas que parecen barquillos rellenos,el poder estudiar en una universidad ,idea,indica opiniones y percepciones de un invividuo,tramar algo mediante ideas ,es como piensan las personas,proteccion,opinion propia,lo que es,Es lo contrario a fracaso
1540,comprensión,sentir empatia hacia la otra entidad,intimidación,provocado por nervios,lamento,Aparece sólo si se esta conciente que se hizo algo mal,a hacer algo,Detalla el significado,fuertemente vinculada al sentido de preservación,fisica,no esta relacionada a cabalidad con la razón o la lógica,evadir algo,eudemonismo,Beneficios,Ventaja ,Actuar en contra de ella puede resultar perjudicial,Ser responsable de hacer algo,locura,algo que aparece cuando lo necesitas ,vision de mundo,actúa de forma individual,puede ser de trabajo,responde a una pregunta,la sientes en un lugar,ayudar ,realidad,Normalmente se obtiene despues de mucho esfuerzo
1541,legitimización,accion de la persona que te hizo sentirte satisfecho,Pone a las personas en riesgo ,se presenta en situaciones de estrés,empatía,Surge cuando se perjudica a otros,Escoger ,Intenta objetivizar,se origina cuando el bienestar se ve fuertemente amenazado ,mental,brota ante resoluciones futuras de probable naturaleza adversa,evitar hacer algo,alegría,Ingresos mayores a gastos,Experencia,Una persona carente de esto genera desconfianza,Estar sometido a algo,coleccionador,ventana para poder lograr algo,ocurre en la mente ,hecho que ocurre en nuestra mente,puede ser de acción,es un motivo,la sientes con una persona,aportar para realizar un trabajo,opuesto falsedad,satisfecho
1542,permite mantener cohesión social,realizar un gesto bondadoso a la otra persona en forma de gratitud,Se relaciona con el chantaje,produce ganas de comer,comprensión de un suceso malo en otro.,Se suelen realizar acciones para repararlo,Declinarme por algo ,Referencia,cuando algo nos perturba demaciado,Quien la posee tiene habilidad para alguna actividad ,verde,mentir,sonrisa,Cuando me va bien en el negocio se obtienen …….,cualidad,se es transparente,Un deber que se tiene que cumplir te guste o no,"como consecuencia, puede traer rabía, ira y descontrol de la persona",esperanza,entrega respuestas,acción de nuestra mente,puede ser de estudio ,se asocia a una proporcion,la puedes tener en ti mismo,acotación,contrario a mentia,poder
1543,favorecen a la representatividad,es un regalo con cariño,Genera angustia en quien la recibe,se produce cuando esperamos alguna respuesta o situacion,tristeza por el otro,Intenta enmendarse,Cuando estoy entre dos cosas debo tomar una ,Requiere credibilidad,la persona se altera,Es positivo,sentimiento necesario ante la adversidad ,manipular informacion para conveniencia,"el objetivo de la vida, para muchos",Entre mayor sea la …… mejor,mide las capacidades,quien no miente,"Cuando se es pequeño, ir al colegio es una …….",Dependencia hacia un objeto o persona aunque nos haga mal,posibilidad,genera preguntas ,circunstancia activa en nuestra mente,acuerdo,es el argumento de algo,se puede trabajar si no la tienes,consejo,ser real,conocimiento
1544,sublima relaciones interpersonales ,estas mas que totalmente de acuerdo con los terminos y condiciones,Forma de manipular a las personas,ganas por saber algo,sentimiento ,Es sancionable,Preferir,Descripcion ,algo incontrolable,Puedes utilizarla para diferenciarte del resto,no debemos perderla en ningún momento,Algo efímero,se observa en la gente simpática,Necesarias para sobrevivir,todos las personas contamos con ella,verdad,Lo contrario a prohibicion,Asociado al trastorno compulsivo ,posibilidad de surgir,cuestionamiento de algo ,lo hacemos todo el dia,respaldo,es el testimonio ,se construye con la experiencia,es una idea que  podria ser aceptada,transparencia ante la vida,sabiduria
1545,Paises realizan esto en muchas veces a lo largo de la historia,Al recibir algo damos esto a cambio.,Conducta extrema para conseguir un fin,se da cuando no podemos esperar mucho para algo,lástima ,Puede llevar a castigos,elección,El significado de algo es una ,alteracion,Puedes explotarla,Fe ,Aquello que causa placer o conformidad  a las personas,payaso,Cuando los beneficios sobrepasan los perjiuicios,se trabaja para perfeccionarla,quien es puro hablando,forzar,Gusto sobreexagerado a una determinada cosa,posibilidad de hacer algo que siempre quisiste y nunco has podido,Amenaza,nos permite resolver problemas,se hace para ir preparado,tiene que ser logico,algo reconfortante,recomendación,decir o actuar de forma natural ,completitud
1657,Se llega a una resolución,Nos hace bien realizar esto,Posible peligro,Sentimiento de angustia,benelovencia ,sentimiento que nos atormenta cuando realizamos una mala accion,constancia,Dicccionario ,Cuando te ves en aprietos,Habilidad de realizacion ,Las cosas estaran mejor ,Es aquello que provoca tranquilidad o sentimientos de alegría  ,risa,Casi siempre se habla de este concepto en términos monetarios,la gente con discapacidad le cuesta conseguirla,contrario a mentira,comprometer,Deseo de algo en exceso,Privilegio de poder demostrar tus habilidades y capacidades en algo muy solicitado,Riesgo de sufrir daños,nos permite razonar,hay buenos y malos,puede ser verdad o mentira,confort,indicar un buen camino,cuando no se tergiversan las cosas,competente
1658,trato entre dos o más partes,"Mientras más potencies esto, más feliz eres",Da inseguridad a las personas,fuerte necesidad de algo,los abuelos generalmente ocasionan esto en las personas ,a menudo nos afecta si no hay una conciencia limpia,seguridad,Cuando no entiendo algo necesito una ,Cuando no sabes que mas hacer ,Capacidad,Suele perderse ,Conseguir o concretar un sueño,"un estado íntegro del ser, más que algo momentáneo",Aunque puede referirse a varios ámbitos como el aprendizaje ,capacidad de hacer algo ,escasea hoy en dia,influir,"En las relaciones tormentosas ya no se habla de amor, sino de este transtorno",Momento donde se abren espacios para la inclusión de algún concepto o persona,Una persona amenazante puede ser un peligro,nos permite replantearnos las cosas,preparado,fundamente de vida,estabilidad,orientar,el no uso de mascaras y de omisiones,estabilidad
1659,es una forma de generar paz entre países,Al salir de mi carrera le daré esto a mi madre,Algo peligroso,no es controlable,o la gente indefensa,puede afectar el estado de animo,asertividad,forma mas explicita de entender algo ,Ansiedad,Se asocia a una actividad,Causa diferentes emociones en la gente ,tranquilidad,sentimiento agradable,Es lo contrario a Perdida,existen muchos tipos ,verdad,presionar,amar una cosa,Privilegio de perfeccionarte en una determinada área,Falta de seguridad,ayuda a poder filtrar lo que decimos,siempre un b,Ambiguo,no sentir miedo,ayudar,decir las cosas como son sin tapujos,calma mental
1660,para solucionar conflictos las personas los hacen,expresión de gratitud,Dañino,Sentimiento negativo,bueno,usado en leyes para determinar sentencia de una persona,elegir de forma informada,Explicar una palabra de mejor manera ,Nerviosismo,Puede ser algo que se potencia,Gratitud ,fe,sentimiento provocado por situaciones positivas,aumento de algo,son diferentes en cada persona ,pureza,relacionar,no soltarlo nunca,poder hacer algo ,Salir a la calle por la noche en un barrio oscuro,relacionado con el cerebro,da mayor probabilidad de éxito,Capacidad de los humanos ,proteccion,apoyar,Hecho cierto,habilidad mental
1661,sintetizacion en una idea general ,se puede utilizar para finalizar un trato,probabilidad de que pase algo malo,Oscuridad,las personas que ayudan a los pobre lo tienen ,alguna gente es mas propensa a poseerla,afirmar ciertas posibilidades,Describir algo,sentimiento angustiante causado por fracaso ,Ciertas actividades la necesitan,Felicidad ,esperanza ,estado de ánimo,suma,si se es bueno en algo se tiene desarrollado eso ,claridad,empujar,estar loco por alguien o algo,que se de el contexto para hacer algo ,Estar en un edificio viejo cuando hay un terremoto,tambien relacionado con la lógica,estrategia,Permite ,fuera de peligro,Dar una idea sin saber si llevara a cabo ,Hecho real,maxima expresion
1662,Pacto,sientes esto cuando alguien te da algo que necesitas,Peligro que provoca algo o alguien,Claustrofobia,bondadoso,malhechor,certeza,Es personal,sentimiento producido por falta de capacidad de espera,Experiencia ,Acepta lo ocurrido ,Pretexto,estilo de vida,más cantidad,acción para crear ,sinceridad,exigir,cuando me obsesiono por una comida en especifico,perdonar,es un tipo de situación,e al abstracto,Se idea,Coherencia ,cuidado,opinar en alguna reunion,real,culmine
1663,Algo que se debe cumplir,al salir de una tienda o lugar la expresas,Miedo que se tiene a algo o alguien,Producido por situaciones estresantes,entender a una personas ,sentimiento,Tener certeza sobre realizar un acción,Depende del punto de vista de cada uno,puede funcionar como mecanismo de defensa en casos particulares,Es automatico ,Se contagia ,Forma de esquivar algo,alegria,utilidades,Destreza,transparencia,constreñir,cuidado ,dejar que persona vuelva a realizar algo,se da cuando uno preseiente que que algo podria salir mal,muestra la forma de ver las cosas,Toda actividad debe tener esto antes de llevarla a cabo,Razonamiento ,cuando uno pone un candado,solucion pensada anticipadamente a algun suceso ,honestidad,felicidad 
1729,algo que concuerdan dos o más partes,estar satisfecho ,Algo o alguien que tiene potencial de causarme algun perjuicio,Nervios,empatia ,pesame mental,Tomar una definición,Para algunas cosas es mas complicado,estado de angustia,No involucra pensamiento ,Se crítica ,Suele ser una mentira,sensacion de placer,dinero extra,Dominio,leal,deber ,mala forma de amar,repetir,Uno es cuidadoso cuando se encuentra en este tipo de situaciónn,no hay limite para el,confección mental que busca lograr un objetivo,Existen diferentes tipos ,sensacion de comodidad,Opinión,realidad de algo ocurrido,cuando cumples tus objetivos
1730,Algo que se consenza,se experimenta hacia otro,Una invasión alienigena es una potencial…..,Inquietud ,tranquilo,incomodidad,tomar una postura con convicción,Se necesita previo conocimiento,estrés ,Profesional,Futuro,pretexto,positiva,ventaja sobre una situacion,Cualidad,compromiso,prohibicion,querer las cosas para uno sin importar nada mas,mejorar lo que hiciste desde un principio,Genera que las personas esten mas atentas,Parte cognitiva del ser humano,lo hacemos cuando queremos realizar un viaje con anticipacion,Permite el planteo de ideas ,guardia ,propuesta,,cuando llegas bien al final de algo 
1731,unanimidad,Lo que uno recibe después de hacer un favor,"En un secuestro, siempre se ……. Con matar al rehen",incertidumbre ,pasivo,malestar,Elección,Todos lo hemos hecho,escases de recursos,habilidad innata ,sentimiento de que se cumpla algo deseado,prorroga,se siente en todo el cuerpo,fortuna,tener capacidades para hacer algo,relacion,cuando se tiene que hacer algo,deseo mal trabajado,posible evento provechoso.,Genera que las personas liberen adrenalina si algo sucede,Puede ser positivo o negativo,los jefes de guerra lo hacen cuando buscan ganar,Requiere al pensamiento,antivirus,Es cuando una persona te propone que realices una acción sin presión,,cuando alguien es inteligente 
1732,conformidad,Muestra de gratitud ,Se utiliza para obtener algo a costa de hacer peligrar algo importante,estrés,cuando nos perdonan ,maldad,Determinación,Sirve para que otro entienda cierta cosa,limitación,usain bolt y otros deportistas la poseen,sentimos esto cuando queremos que a alguien/nosotros nos vaya bien, palabras para safarse de algo o alguien,se transmite ,ingresos sobre gastos,inteligente,Decir la verdad,es bajo la ley ,"querer para si, sin importar la consecuencias",situación de posibles ganancias.,Genera que las personas sean mas cuidadosas,Los filósofos lo tenían como fuente de conocimiento. ,personajes de series o libros lo dicen cuando tienen una idea,Se le interponen las emociones ,contraseñas ,Es aclarar a una persona respecto de un tema sin manipular,,cuando ganas un juego 
1733,tratado,muestra de afecto después de prestar atención ,No debe generar miedo,incomodidad,no se agobia a las persona ,dolo o mala intencion,querer hacer algo ,Ayuda a comunicarnos,hacer algo obligado,ingenio,la gente de pueblos en guerra siente esto,narracion de hechos,se irradia ,la gente espera obtenerla en su vida laboral,dominio de una materia,Sinceridad ,las autoridades las dan ,enfoque egoista de lo que e desea,chance,riesgo,Razonar,se realiza en el lobulo frontal,Plenitud ,barreras ,Aclarar una confusión ,,Logro
1734,es justo,Gracias ,Dificultad por enfrentar ,Dificulta el pensamiento,Lo que tenemos al ayudar a una persona,reflexion sobre un mal acto,definitivamente,Se necesita observacion y enterder,estado crítico ,habilidad,saber que algo vendra despues,justificacion,opuesta a tristeza,Rentabilidad ,técnica,Ser transparente ,cuando estudias para una prueba ,dirigir la atencion a una cosa o persona y luchar para obtenerlo contratodo,posibilidad,esta a punto de llegar una mala situacion,Asociar,usa representaciones mentales,Fue muy estudiado por Kant,tranquilidad ,Orientar ,,Asaña
1735,involucra responsabilidad,sentimiento de satisfacción por alguna buena acción,Barrera para cumplir mis objetivos ,Angustia,Misericordia,pesame de la conciencia,tener algo en mente,Tiende a ser objetivo,estado que vive una persona,capacidad de poder realizar una accion,soñar con una gratificacion futura,,lo que se busca en la vida,Cuando vendo algo obtengo una ,talento,Para decir las cosas que siento necesito una gran ,trabajo,querer tener algo,hay que aprovecharlas,malo,Forma de hacer conciencia ,expectativas para realizar en un futuro,se da cuando alguien dice lo correcto,contencion frente a una situacion ,,,Se siente bien
1736,compromiso,capacidad de dar las gracias,Existen muchas amenazas que no son reales,Dificultad,Perdonar al culpable,Emoción consecuente a hacer daño,,Plasmar determinado concepto,Común a fin de semestre ,habilidad,Fe,,bienestar ,Obtener algo ,arte,Valor,Estudiar,visio,ventana,produce miedo,Es una forma de analizar las cosas,Algo objetivo ,argumento,el dinero dicen que la otorga,,,Se necesita esfuerzo
1737,tratado,reconocimiento de aspectos positivos,riesgo,Enfermedad,Sentimiento ,Nos ahoga,,Ampliación de un término para su entendimiento,Emoción negativa,aptitud,Lo último que se pierde,,contento ,En las ventas se busca una ,don,Virtud,Todas las mamás la tienen,ser incapaz de dejarlo,ahí hay que demostrar las capacidades,tratamos de evitarlo,Todo humano es capaz de ocuparlo,Algo organizado ,se vincula con valoraciones,confianza en si mismo ,,,Todos podemos lograrlo
1815,se establece entre dos entidades para un fin,recompensa ,exposición a un peligro,Falta de autocontrol,Nos lleva a hacer acciones por alguien,Nos aleja ,,Establecer límites,Angustia,idoneidad,Fe de una nueva oportunidad,,es una emoción positiva,Dinero ,capacidad,Se desarrolla,Cuando uno trabaja,estar siempre con eso,opcion,tu cuerpo te prepara para un momento de…,Es involuntario ,Se proyecta a futuro ,proporción,estar a salvo,,,Se necesita disposicion
1816,Trato,brindar las gracias,algo de lo que debemos cuidarnos,sensación nerviosa que puede ser de angustia o de inestabilidad,Personas mas frias la tienen menos,Nos sentimos avergonzados,,que significado tiene la palabra,Sentimiento negativo,la tienen las personas que se dedican a algo,También puede ser un nombre de mujer,,alegría,Las empresas poco rentable son las que tienen poca ,Saber hacer algo,Es un principio,Cuando uno se compromete a algo,sentimiento ,tener una alternativa para algo,Amenaza externa,Se puede potenciar,algo preparado,sabiduría,tener un respaldo ,,,Es a lo que uno aspira
1817,Hay informales y formales,manifestarle lo bueno que hizo a una persona ,tener precaución ,sentimos esto antes de un exámen,Esta en la naturaleza humana,Debe limpiarse para superarla,,describir concepto,Se siente cuando se piensa que no hay solución,se puede adquirir innatamente o por la práctica,Lo que se tiene cuando se cree que algo imposible se puede arreglar,,regocijo,Contrario a perder ,Ser bueno en algo en especìfico,A las personas les agrada,Responsabilidad,pensamiento recurrente,chance frente a una cosa,Riesgo,Permite tomar decisiones ,tiene pasos,saber algo,protección ,,,Puede tener diferente significado para cada persona
1818,Los formales se deben legalizar ,demostrar que se tomo en cuenta lo realizado,su recepción genera angustia,cuando nos sentimos de esta forma nos dan ganas de comer,"Produce algo internamente, en lo espiritual",Arrepentimiento,,lexico,Es lo contrario a Esperanza,los mejores deportistas la tienen para sus disciplinas,fe,,algo bueno,beneficio,Fuerte de alguien,Es necesaria,Una tarea por hacer,apego ,cuando se abre una ventana en la vida,Posibilidad de daño,Puede involucrar cualquier tema,guia,equivalencia,vela por nuestro bienestar,,,Metas claras
1819,El respeto por los informales determina a una persona ,manifestación positiva ,busca hacer daño,al estar nerviosos en exceso nos sentimos así,Es buena,Posterior a experimentar el daño hecho a otro,,explicar algo,Cuanddo se necesita algo urgentemente y sabes que no lo puedes tener,es la realización correcta de un quehacer,sentimiento ,,provoca sonrisas,utilidad, Capacidad de realizar alguna tarea,Mucha gente no la tiene,Deberes,,situacion que uno puede arovechar o no,situacion de advertencia,Se asocia a la personalidad,modelo a seguir,se usa en matemáticas,guardia,,,Se busca un objetivo personal
1820,Se llevan a cabo todos los dias,dar una respuesta,se realiza con el objetivo de venganza,Nervios,Nos ayuda a ser mas solidarios,Es un sentimiento,,entenderer el comienzo de algo,Todos tratan de evitar este sentimiento buscando soluciones,la mejor forma de hacer las cosas,Fe,,es un estado de ánimo,ingresos,Se logra con la pràctica,Dificil de efectuar,Calificación de una acción a la que te mandaron,,posibilidad,en esa situacion puede haber elementos peligrosos,voces internas,es estructurado,se cree siempre tener,encargado de defendernos,,,cualidad
1821,Los formales pueden tener grandes consecuencias ,cordialidad,se ve como advertencia o ultimatum,Consecuencia de constante estrés,Nos ayuda a pensar en el progimo,Cuando alguein comete un error,,concepto,agobio,Ser hábil ,Puede terner fundamentos racionales o no,,alegría un poco más constante,las empresas se mueven por tenerla,,Las buenas personas la tienen,El deber de ayudar a tu equipo de trabajo,,instancia que debe ser aprovechada,los elementos peligrosos pueden ocasionar grandes daños,lenguaje generado al interior de una persona,no involucra espontaneidad de acontecimientos,seguridad fremte a algo,"carabineros, bomberos",,,lograr las metas propuestas
1822,Puede ser interno a una persona o externo a esta,educación ,los delincuentes suelen usarla,Preocupación  por el futuro ,La gente buena la tiene mas presente,Infracción,,acuerdo,impotencia,Hacer con facilidad un trabajo o actividad ,"Esperar lo mejor, estar preparado para lo peor ",,se puede llorar por esto,está presente en finanza y economía,,cualidad,Lo que tus padres te imponían en casa,,alternativa que surge inesperadamente y que promete ser beneficiosa,hay que arriesgarse para pasar un peligro,aun no se sabe de donde proviene,Proyecto,certeza,antivirus,,,"puede serlo una persona, una idea, un proyecto, etc."
1823,dos o más partes pueden llegar a él,respuesta frente a una causa que te favorece,"peligro, riesgo, dañino, herida, muerte, asesino, daños, virus, enfermedad, corrupción",Puede ser un tipo de trastorno ,cualidad,Sentimiento,,concenso,encerrado,Tener mayor capacidad innata,Puede ser objetiva y subjetiva ,,un sentimiento agradable,los contadores son las que las calculan,,fiel,deber ,,Chanche,riesgo,informacion que yace en la mente,Determinacion de un futuro,lógica,bloqueo de males,,,puede ser personal o grupal
1824,idea que satisfaga a los participantes,sensación,riesgo,Puede derivar a crisis ,Apiadarse,Estado humano,,Tomar una decision ,sin salida,Es cuando uno es rápido en algo obteniendo mejores resultados,objetivamen puede ser un termino matematico que tiene un valor exacto,,es un sentimiento ,normalmente se mide en cantidad de dinero,,siempre debe existir en una relación de pareja,tener que hacer algo si o si ,,Ocasiòn perfecta,acción que perjudica el bienestar propio,simbolo mental que representa algo de la realidad,Camino a seguir,lo posee el ser humano,demostrarse firme en una posición ,,,grandeza
1852,un trato,estar conforme,dañino,trastorno,Dios tuvo esa cualidad con nosotros,Sucede cuando hiciste algo malo,,Darle termino a una idea,angustia,Característica de personas que tienen alto rendimiendo,Subjetivamente tiene multiples aplicaciones ,,generalmente se le atribuye a la gente que se encuentra sonriente,"Cantidad de remuneración ya sea, en dinero, tributo o especies.",,cualidad moral,Desesperación,,Momento apropiado,cuando corremos algun riesgo,razonamiento,Coordinacion de ideas para un fin ,resolución de problemas,Cuado estas en tu hogar estas en una supuesta …,,,ser el mejor en lo que hago
1853,se llega a una conformidad,ligado a los modales,herida,intranquilidad,empatía,Algunos la sienten mas que otros,,Explicar caracteristicas de alguna plabara,sin solución aparente,Se va mejorando con la práctica,fe,,es algo positivo ,Dinero generado producto de un trabajo o un trueque.,,ser transparente ante los demas,Cuando uno no quiere hacer algo volutariamente,,Algo que no se puede dejar pasar,las guaguas suelen estar mas expuestas a este concepto,reflexión,Organización ,contrario al instinto,Cuando no hay riesgo alguno,,,que te vaya bien en el futuro
1854,tregua,Forma de recompensar algún favor,muerte,impaciencia,apiádate de mi por favor,Se siente mal,,Dar el significado de algo,sentimiento intranquilizante ,Relacionado con el desempeño ,creer en algo,,Todos intentamos sentirnos así,ganar algo,,no hay que guardarse secretos,Deber,,"Si se da, se tiene que aprovechar",cuando debemos tener cuidado,análisis,Conseguir una meta,pensamiento racional,Tranquilidad,,,esfuerzo
1855,involucra a 2 o mas personas,Sentimiento despues de que alguien hizo algo por ti,asesino,se puede producir estando bajo presión,debilidad,"Puede durar muy poco, o mucho tiempo",,dar ideas de un objeto,provocado no por desición de la persona,Ágil ,los religiosos creen en ella,,alegria,obtener un beneficio,,hablar siempre con la verdad,Los universitarios tenemos que dar pruebas aunque no nos guste,,,cuando algo nos puede afectar fisicamente,idea,Ideas,logica,Sin amenaza alguna,,,acción de lo conseguido o logrado
1856,usado con frecuencia en negocios,"Si me haces un favor, yo me siento…….",daños,crea otros desordenes en el cuerpo,concepto de lastima,Generalmente hay que saciarla con alguna accion,,Hablar sobre como se forma algo o como se constituye ,es cuando de pierde la tranquilidad,Se obtiene mayor rendimiento ,creer que algo puede pasar,,sonrisa ,dinero que se obtiene de lo que ha sido invertido en un objeto,,"expresar lo que uno siente, sin preocuparse en la consecuencia que trae dicerlo",Cuando uno hace un compromiso con otra persona y tiene que cumplirlo,,,constantemente estamos expuestos a ello,aquello que pasa por nuestra mente,Soluciones a problemas,sirve para explicar cosas a traves del pensamiento racional,Protección,,,expresión que se le da a lo ancalzado
1857,modo de usar la razon para lograr un interes en comun,Se siente un gran……. hacia nuestros padres,virus,nerviosismo,lastima por el otro,Ataca mentalmente,,explicar algo respecto de un tema específico que tu conoces,sentimiento que surge al sentirnos presionados,Una de las cosas que te hace ser profesional en algo ,lo último que se pierde,,en un nacimiento ,expresión que se le da al comprar aun determinado precio y que se vende a un valor muho mayor,,Acción de decir la verdad,Terea,,,los delincuentes son un ejemplo de este concepto,operación intelectual,Proyecto,la gente intenta tener control sobre esto,Tener guardias puede darte una cierta …,,,Lograr un objetivo 
2033,aveces usado por conveniencia de unos,Es lo contrario a resentimiento,enfermedad,es una emoción,Preocupacion por el otro,Cuando se termina es un alivio,,Algo acotado,muchas personas sufren de esto cuando se encuentran deseosas de algo,habilidad,una razón para seguir viviendo,,emocion ,Obtener un premio,,Valor correspondiente a alguien que no miente,Puede ser impuesto por otro persona o voluntarios,,,motivo por el que nos debemos cuidar,proceso mental,Busca minimizar el peligro y las amenazas ,gente en discusiones quiere poseerla,respaldo,,,Superar o cumplir con las espectativas
2034,puede llegar a perjudicar a alguien,Oportunidad,corrupción,Impaciencia ,emocion de congoja por otra persona,Angustia,,describir algo,agoviado,facilidad para realizar algo ,Sentimiento de anhelo ,,en una celebracion,Obtener un objeto o cosa de utiidad,,Ligado a la veracidad ,Contra mi voluntad,,,advertencia,cuando las personas miran hacia arriba antes de responder,Busca asegurar resultados esperados,usado con frecuencia en matematicas ,produce tranquilidad,,,Imagn soial positiva
2035,pacto,Necesario ,Es una acto,Se debe regular,empatia con sufrimiento ajeno,Sentimiento que tenemos cuando decimos algo indebido a alguien,,decir que es el objeto o cosa,puede llevar a la locura,manejo elevebado ,"Cuando las cosas están mal, uno tiende a sentirlo ",,risa,Aumento de Recursos,,Capacidad de expresar estados internos complicados a otros,Responsabilidad,,,indica una situación que necesita cuidado,Nos hace tener ideas y cuestionarnos cosas ,se organiza según destresas o habilidades ,se puede encontrar en el mundo de las leyes,guardias,,,satisfacción de haber logrado una meta
