adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
,dar mas,venenoso,['guerra'],calor,,['ultimo'],,fuerza,,['programacion'],facha,,horror,derecho,inspiradorar,,,quimicar,,vida,atuendo estiloso,vida social,misionero,,,,pollo,,hechicera,hectarea,,viaje,,placentero,estafa,regalo,,tristeza,,,,,,,,pagar,bipolar,bonito,rápido,esfuerzo,enajenación,sol,cine,,,glandul,['destrucción'],,newton,,recepcion,,hacer,transito,,,despejado,,['agobio'],,,,,,dios,['destruccion'],,,cinematografia,,,lent ayudar,,['torre'],,dejar pegado,,,facilidad,bala,desolado,,,asiento,formula matematica,experiencia,espejo,,,['escalera'],['esperado'],,invertir,pulcrir,['nuevo comienzo'],,estable,apretado,,,descuidado,pobreza,['proceso'],,,,territorio,,
,resistencia,peligroso,['estrategia'],cansancio,,['soplido'],,,,['codigo'],vestidura,,chillir,libra signo zodiacal,patria,,,laboratorio,,ciclo vida,laboratorio,taberno,jesús,,,,papa,,magia,zona limpio,,vacación,,sentimiento agradable,arribista,molestia,,asombro,,,,,,,,robar,mentira,agradable visto,vertiginoso,,exageración,estrella,bala,,,efecto,['problema'],,,,cantidad dinero ganar actividad,,desilusión,calle,,,cordura,,['sentimiento'],,,,,,regalo,['guerra'],,,corto,,,molesto mirar,,['amplio'],,absorber,,,desafio,asalto,arido,,,asiento,oscilacion,salir,igual,,,['amortiguador'],['sorpresivo'],,trabajo,cuidado propio,['incertidumbre saber si bien'],,balanceado,flexible,,,indiciplinado,dignidad,['demorar'],,,,desconocido,,
,apoyo,espín,['deporte'],dolor,,['valentia'],,,,['lenguaje'],conjunto,,rugido,precisión,libertad,,,microscopio,,recuerdo,manguir largo,establecimiento comida,dios,,,,choclo,,pelicular,alimento,,piscina,,postre,honesto,falta mejorar,,esperanza,,,,,,,,dificultad,aspecto,poder ser sicológicar,animal,,exaltación,entidad,muerte,,,crecimiento,['cambio climatico'],,,,poder entrar,,llanto,auto,,,limpio,,['tristeza'],,,,,,casualidad,['destrucción'],,,literatura,,,persona ver nitidamente,,['importante'],,shrek,,,,maldad,origen,,,colegio,,volver,parecido,,,['auto'],['agradable'],,hijo,auto preocupación,['crecimiento'],,,dejar ir,,,inepto,carga,['cansancio realizar'],,,,turismo,,
,arenguir,pincho,['dos persona'],cemento,,['valor'],,,,['reparar'],vestido,,susto,justicia,muerte,,,muestra laboratorio,,zombi,ancho,comedor,cruz,,,,invierno,,terror,recolectar,,extranjero,,sabroso,falso,error,,desequilibrio,,,,,,,,peligro,apariencia,alguien malo,compañero,,susto,mas grande nostro,militar,,,insulín,['persona dañada'],,,,nuevo comienzo,,perdon,iluminación,,,,,['pena'],,,,,,parroquia,['explosión'],,,construcción,,,calidad,,['nobleza'],,mal olor,,,,carcel,,,,escritorio,,astuto,semejanza,,,['camioneta'],['pasar llevar'],,mantención,,['requerir preocupacion'],,,agil,,,inexperiencia,finanzo,['solucionar problema'],,,,viaje bicicleta,,
,bancar,pua,['pensar'],,,['animo'],,,,['ramo flor'],saco,,miedo,equilibrio,respetar,,,genetico,,terror,frescir,barra,,,,,frio,,hecho bruja,agricultura,,comida,,rico,engaño,imperfección,,fisico,,,,,,,,desaparecer,fisico,mentir,gato,,gritar,vida,tension,,,tiroidir,['casa destruido'],,,,nuevo lugar,,arrepentimiento,direccion,,,,,['tristeza'],,,,,,vida,['volar lugar'],,,mesa,,,procesamiento,,['señorial'],,cocodrilo,,,,peligroso,,,,estudiar,,,acción inconsciente,,,['metal'],['perturbar'],,acabar,,['requerir cuidado'],,,habil,,,error,inversion,['gestion'],,,,viaje bicicleta,,
,tener garra,abeja,['competencia'],,,['exhalar'],,,,['acuerdo'],traje,,lobo,poder provocar problema mental,,,,,,tanatofobiar,facil manchar,establecimiento bebida alcohólico,,,,,comida abuela,,película,granjar,,alcohol,,pastel,daño,pequeño,,mental,,,,,,,,esconder,mentalidad,poder ser físico,leon,,lujurio,cosmos,orden,,,,['mejor condición'],,,,positivo,,sentimiento,prohibicion,,,,,['sufrimiento'],,,,,,divinidad,['proyectil volador'],,,foto,,,conexion,,,,amazona,,,,miedo,,,,clase,,,espejo,,,['plastico'],['molestar'],,poder aumentar,,['nuevo oportunidad'],,,seguridad,,,problema,agradecimiento,['realizar fila'],,,,viaje automovil,,
,soportar,escorpión,['juego antiguo'],,,['olor'],,,,['hacer trampa'],terno,,luna,justicia,,,,,,,pijamar,alcohol,,,,,liquido,,hechacer,granjero,,hawai,,dulce,atrevir,obsequio,,amistad,,,,,,,,,material,desagradable,tigre,,estasis,estrella,tiritar,,,,['viento'],,,,nuevo información,,tristeza,permiso,,,,,['emoción'],,,,,,profeta,['usado guerra'],,,photoshop,,,bueno,,,,agua sucio,,,,situacion riesgo,,,,atención,,,agua,,,,['llamar atención'],,depender cargo,,['deber forzalecer'],,,amistoso,,,inteligencia,dar él gracias alguien,['requerir tiempo'],,,,viaje automovil,,
,mostrar impetu,veneno,['inteligencia'],,,['comida'],,,,['pre-definido'],identidad,,cuento,entrega justo,,,,,,,abuela,happy hour,,,,,enfermo,,maldición,fiesta,,sol,,comida,robo,preocupación,,sentimiento,,,,,,,,,exterior,horrible,peludo,,descontrol,planeta,asesinato,,,,['tornado'],,,,dinero,,mala decisión,,,,,,['sentimiento'],,,,,,realidad,['peligro'],,,falsedad,,,alto definición,,,,barro,,,,robo,,,,profesor,,,reflexion,,,,['enfadar'],,pago,,['grano'],,,conversador,,,,seguir alguien,['dinero'],,,,destino,,
,identificar él,lanceta,['juego mesa'],,,['identidad'],,,,['poder haber distinto tipo'],ropa,,sonido,entrega pesos,,,,,,,dormir,cerveza,,,,,caliente,,poder,alimento,,proa,,italia,respetar,esfuerzo,,alegría,,,,,,,,,,rasgo inadecuado,alergiar,,fiesta,sistema solar,pistola,,,,['desastrar natural'],,,,entrada,,mala idea,,,,,,['melancoliar'],,,,,,ficción,['arma peligroso'],,,malo,,,claridad,,,,mucho vegetación,,,,legal cierto país,,,,educación,,,ilusión,,,,['alborotir'],,sueldo,,['plantar'],,,desenvolver bien,,,,veneracion,['orden'],,,,vagabundo,,
,inspiracion,pinchazo,['ficha'],,,['inseguridad'],,,,['mejor cosa'],visual,,agudo,peso,,,,,,,acostar él,junta amigo,,,,,sabroso,,hipnosis,licor,,popa,,cocinar amor,sinvergüenza,,,tristeza,,,,,,,,,,belleza,nocturno,,locura,inmenso,masturbación,,,,['generar miedo gente'],,,,ganancia,,proyecto funcionar,,,,,,['ocurrir tras perder alguien querido'],,,,,,buena noticia,['bazooka'],,,paco,,,lent,,,,arbol,,,,peligroso,,,,libro,,,espejismo,,,,['revuelta'],,dinero,,['planta'],,,practicar,,,,honor,['regla'],,,,coraje,,
,perseverancia,picar,['casillas'],,,['arengar'],,,,['consensir'],identificacion,,lejano,masa,,,,,,,comodidad,bar,,,,,choclo,,controlar,plantación,,motor,,cariño,inadecuado,,,pasión,,,,,,,,,,visualmente desagradable,trepador,,drogar,espacio,desencadenar,,,,['arrasar paso'],,,,incremento,,frustración,,,,,,['compasión'],,,,,,trabajar científico,['proyectil pesado'],,,usar,,,visible,,,,moho,,,,disparar bala,,,,compañero,,,dualidad,,,,['desordir'],,remuneración,,['árbol'],,,suelta,,,,rendir,['sociedad'],,,,camino,,
,fuerza,arma,['requerir astucia'],,,['dentro'],,,,['mejorar situación'],personalidad,,soledad,medición,,,,,,,lencería,maquín musico,,,,,carne,,muñeca,fruto,,navegar,,pasión,visto,,,intenso,,,,,,,,,,subjetivo,cazador,,exaltación,cometa,disparador,,,,['mundo'],,,,acción entrada,,tristeza,,,,,,['pesar'],,,,,,dar él vida deber morir,['militar'],,,manipulación,,,detallado,,,,verde,,,,poder ser mortal,,,,mesa,,,parpadeo,,,,['manifestación'],,trabajo,,['cereal'],,,flacidez,,,,obligación,['control'],,,,encuentro,,
,voluntad,defensa,['blanco negro'],,,['higienir'],,,,['solucionar problema'],ocacion,,suspenso,cocina,,,,,,,encaje,mesa pool,,,,,comida,,poseer,hacer aire libre,,tipo barco,,rico,insolente,,,incontrolable,,,,,,,,,,monstruo,raton,,agitado,asteroid,palanco,,,,['tormenta'],,,,acción incremento,,pérdida,,,,,,['condolencia'],,,,,,felicidad,['guerra'],,,abuso,,,pixel,,,,cafe,,,,ruleta ruso,,,,madera,,,respuesta,,,,['volver volar'],,contrato,,['fruta'],,,fácil,,,,gravamen,['aburrido'],,,,persona conocer,,
,tolerar,ataque,['mentalidad'],,,['alma'],,,,['servir recomponer cosa roto'],presentacion,,noche,ciencia,,,,,,,ropa,musico vivir,,,,,sopar,,iglesia,tierra,,lujoso,,exquisito,osado,,,relacionado hecho,,,,,,,,,,defor yo,garra,,pelea,vía láctear,boton,,,,['espiral'],,,,,,desgracia,,,,,,['tristeza'],,,,,,religiosidad,['destrucción'],,,engaño,,,alto calidad,,,,sucio,,,,usar policía,,,,escritorio,,,movimiento involuntario,,,,['agitación'],,precio,,['sembrar'],,,desenvolver él,,,,donación voluntario,['tedioso'],,,,mucho cultura,,
,resistencia,dolor,['estrategia'],,,['comunicacion'],,,,['poder ser ámbito'],impresion ,,maullar,baño,,,,,,,largo,borracho,,,,,invierno,,monja,ocupar semilla,,gran tamaño,,dulce,temerario,,,existir varios,,,,,,,,,,atractivo,,,provocado emoción,nebulosa,pieza golpear bala,,,,['destrucción'],,,,,,fallar,,,,,,['pena persona'],,,,,,improbabilidad,['armamento'],,,insidia,,,definido,,,,insecto,,,,distinto calibre,,,,mueble,,,condicionamiento,,,,['impacto'],,emolumento,,['cosecha'],,,hiperlaxo,,,,donación remuneratoriar,['fácil'],,,,quiza dinero,,
,apañe,espín,['pensamiento'],,,['aire'],,,,['pegamento'],atractivo,,ruido,kilograr,,,,,,,algodón,peligroso noche,,,,,comida casera,,hechacer,depender temporada,,gran capacidad persona,,postre,acto hacer,,,amor,,,,,,,,,,adjetivo,,,pasion,agujerir negro,pistola,,,,['nombre persona'],,,,,,recriminar,,,,,,['perdido'],,,,,,suerte,['aniquilación'],,,escenario,,,transparencia,,,,área verde,,,,usar mano,,,,escuela,,,sinceridad,,,,['perturbación'],,recompenso,,['tierra'],,,agíl,,,,reconocimiento,['molesto'],,,,poder generar lazo afectivo,,
,compromiso,pua,['entretención'],,,['olor'],,,,['ingeniería'],comprar,,sonido molesto gato,newton,,,,,,,ropa,cerveza,,,,,zapallo,,bruja,actividad rural,,viajar distancia larga,,pastel,falta respetar,,,odio,,,,,,,,,,repulsivo,,,locura,enorme,disparar,,,,['desastrar'],,,,,,bajo ánimo,,,,,,['sentimiento'],,,,,,probabilidad,['explosión'],,,actuación,,,claro,,,,oscuridad,,,,poder llevar bolsillo,,,,usado alumno,,,claridad,,,,['conmoción'],,acuerdo,,['naturaleza'],,,destreza,,,,banda,['papeleo'],,,,lugar fijo vivir,,
,vigor,pincho,['competencia'],,,['aroma'],,,,['recomponer'],ropa,,sonido animal,físico,,,,,,,pijamar,bar,,,,,caliente,,exorcismo,trigo,,travesía,,comida,verguenza,,,rencor,,,,,,,,,,fisico,,,violencia,contener estrella,corto tiempo,,,,['viento'],,,,,,luto,,,,,,['emoción'],,,,,,accidente,['disparo'],,,obra,,,limpieza,,,,,,,,hacer ruido disparar,,,,sala clase,,,enfrentar él realidad,,,,['impresión'],,dinero,,['florecer'],,,bueno hablar,,,,impuesto,['agradable'],,,,poder tener trabajo fijo,,
,energiar,aguja,['intelecto'],,,['comida'],,,,['embellecer'],outfit,,llanto,comercio,,,,,,,dormir,borracho,,,,,almuerzo,,maldición,sembrar,,barco,,bueno,valiente,,,poder dominar,,,,,,,,,,horrible,,,daño,contener planeta,diminutivo gato,,,,['zona centro americano'],,,,,,arrepentimiento,,,,,,['tópico literario'],,,,,,intervención divino,['fuerza armada'],,,falsedad,,,luz,,,,,,,,disparo,,,,aprender,,,mostrar él,,,,['caos'],,sueldo,,['comenzar'],,,tieso,,,,orgullo,['rápidez'],,,,alguien camino destino,,
,paciencia,filoso,,,,['esfuerzo'],,,,['mejora'],vestir,,reclamo,equilibrar,,,,,,,vestimento,alcohol,,,,,llenador,,embrujado,agricultura,,viaje,,placer,aprovechado,,,deber controlar él,,,,,,,,,,sentimiento,,,agitado,espacio,pelicula vaquera,,,,['bunker'],,,,,,sentir,,,,,,['pena'],,,,,,expresión cotidiano,['hiroshimo'],,,mentira,,,ordenado,,,,,,,,peligro,,,,apoyo libro,,,mostar verdad,,,,['descontrol'],,trabajo,,['fruto'],,,libre,,,,ofrendir,['solución'],,,,transporta,,
,resistencia,abejo,,,,['empujar'],,,,['ilusión'],vestimento,,llamar atención,regular,,,,,,,camisa,pelea,,,,,comida chileno,,magia,campo,,incrusijado,,relajante,ladron,,,impulsividad,,,,,,,,,,desodenado,,,enojo,vía lactear,distinto tipo arma,,,,,,,,,,tristeza,,,,,,['empatir'],,,,,,ayuda,,,,actuación,,,preciso,,,,,,,,muerte,,,,silla,,,proyectar él,,,,['agitacion'],,esfuerzo,,['nacimiento'],,,relajado,,,,entregar,['proceso'],,,,viaje,,
,perseverancia,avispa,,,,['acompañamiento'],,,,['esperanza'],vestido,,tension,emparejar,,,,,,,vestido,orinar,,,,,sopar,,pelicular,nutrición,,aventura,,gusto,insolente,,,sentimiento,,,,,,,,,,atractivo,,,agresivo,andrómedir,detonante,,,,,,,,,,culpa,,,,,,['sufrimiento'],,,,,,duda,,,,situación,,,fotografiar,,,,,,,,venganza,,,,mesa,,,enfrentar verdad,,,,['desordir'],,ahorro,,['vida'],,,flexible,,,,respetar,['solicitud'],,,,movimiento,,
,problema,abejorro,,,,['consejo'],,,,,chaqueta,,llorar,comparar,,,,,,,sueño,lejano oeste,,,,,carne,,poción,alimento fresco,,relajo,,comida chino,atrevir,,,alegría,,,,,,,,,,indigno,,,descontrol,astronomia,decisivo,,,,,,,,,,dificil,,,,,,['tristeza'],,,,,,gratificación,,,,falsedad,,,alto definicion,,,,,,,,odio,,,,estudio,,,mostrar realidad,,,,['indiciplín'],,moneda,,['esperanza'],,,blar,,,,ritual,,,,,transporte,,
,soportar,insecto,,,,['inspiracion'],,,,,zapato,,perro,,,,,,,,pijamado,camarera,,,,,pollo,,miedo,poder relacionar sentimiento,,descanso,,rico,traicion,,,corazón,,,,,,,,,,contraposición belleza,,,exaltación violentar,astrologia,oportunidad,,,,,,,,,,cuestionar él,,,,,,['compasión'],,,,,,situación,,,,castigo,,,television,,,,,,,,necesitar permiso,,,,estudiante,,,agua,,,,['revolucion'],,billete,,['poroto'],,,adaptacion,,,,ideología,,,,,movimiento,,
,resistencia,escorpión,,,,['oloroso'],,,,,formal,,lobo,,,,,,,,bata,establecimiento,,,,,papa,,pelicular,plantar,,barco,,placentero,frescir,,,sensación fuerte,,,,,,,,,,malo estética,,,racha agresividad,universo,pequeño,,,,,,,,,,crítica,,,,,,['moral religioso cristiana'],,,,,,fe,,,,elaboración,,,borroso,,,,,,,,vulnerabilidad,,,,prueba,,,espejo,,,,['rebelion'],,vacación,,,,,abierto,,,,místico,,,,,llegar destino,,
,persistir,abejo,,,,['comida'],,,,,informal,,miedo,,,,,,,,noche,mesa pool,,,,,caluroso,,hechizero,esperar hacer tiempo,,ir mar,,descanso,malo,,,irracional,,,,,,,,,,desagradable visto,,,explosión animal,espiral,pistola,,,,,,,,,,,,,,,,['pena'],,,,,,inesperado,,,,preparación,,,enfocar,,,,,,,,error,,,,libro,,,luz,,,,['resistencia'],,objeto material,,,,,confiado,,,,esperar retorno,,,,,dejar lugar,,
,ejercicio,pinchazo,,,,['cepillo diente'],,,,,estilo,,noche,,,,,,,,pijamar mujer,bar,,,,,arroz,,magia,felicidad,,mucho parada,,gozar,osadir,,,humano,,,,,,,,,,característico feo,,,ímpetu extremo,estrella,inicio,,,,,,,,,,,,,,,,['incomodidad'],,,,,,bendición,,,,,,,alto resolución,,,,,,,,,,,,cuaderno,,,único manera mirar él mismo,,,,['criticar'],,estudio,,,,,seguridad,,,,favor,,,,,encontrar viajar,,
,resiliencia,hinchazon,,,,['frescir'],,,,,outfit,,luna,,,,,,,,vestido dormir,musico star wars,,,,,plato,,brujerio,alimento,,viajar,,banquete,falta respetar,,,amígdalar,,,,,,,,,,presencia ingratar,,,despliegue vicioso fuerza,planeta,partido,,,,,,,,,,,,,,,,['sentimiento'],,,,,,imposible,,,,,,,claridad,,,,,,,,,,,,sufrimiento,,,consecuencia,,,,['destruir'],,remuperación,,,,,lidertad,,,,,,,,,persona,,
,constancia,puntiagudir,,,,['pasta diente'],,,,,temporada,,hombre lobo,,,,,,,,prenda sugerente,alcohol,,,,,almuerzo familia,,maldicion,verano,,conocer distinto lugar,,satisfaccion,desubicación,,,sistema límbico,,,,,,,,,,horrendo alguno grado,,,evento acompañar visión rojo,fuerza,detonante,,,,,,,,,,,,,,,,['pensar projimo'],,,,,,porbable,,,,,,,visibilidad,,,,,,,,,,,,conocimiento,,,respuesta,,,,['agitación'],,pago trabajo,,,,,descaro,,,,,,,,,curiosidad,,
,energía,veneno,,,,['hediondo'],,,,,desfile moda,,dolor,,,,,,,,ropa cama,barmar,,,,,energiar,,maldad,campo,,marinero,,pizza,falta remordimiento,,,variedad,,,,,,,,,,monstruosidad,,,locura llevado acción,saber,instrumentar arma,,,,,,,,,,,,,,,,['situación externa'],,,,,,alegría,,,,,,,detallado visto,,,,,,,,,,,,esfuerzo,,,distorsión,,,,['enervación'],,recompenso empleador,,,,,amigable,,,,,,,,,aprender,,
,rigor,doloroso,,,,['bocar'],,,,,modelo,,extrañar,,,,,,,,vestimento sencillo casa,baile,,,,,comida chileno,,daño,grano,,pasajero,,seduccion,impertinencia,,,constante,,,,,,,,,,malformación,,,enajenación desatado,gigante,palanco,,,,,,,,,,,,,,,,,,,,,,salvación,,,,,,,estorbo visual,,,,,,,,,,,,diversion,,,reflexión,,,,['alteración'],,motivación trabajador,,,,,frescura,,,,,,,,,disfrutar,,
,tolerancia,defensa,,,,['estomago'],,,,,fotografiar,,comunicación,,,,,,,,dormir,bohemia,,,,,plato comida nutrir,,dolor,trigo,,titanic,,tentacion,escasez vergüenza,,,humano,,,,,,,,,,maldad,,,,energiar,disparo,,,,,,,,,,,,,,,,,,,,,,ayuda,,,,,,,poco nulo distorsión,,,,,,,,,,,,mesa estudiante,,,fenómeno físico,,,,['aumento brusco actividad'],,transacción mensual empleado,,,,,,,,,,,,,,conocer,,
,firmeza,rompible,,,,['digestion'],,,,,ropa,,expresión,,,,,,,,pijamar,bebida energetico,,,,,mezcla sencillo alimento animal vegetal,,miedo,papas,,peligroso,,agradable gusto,ausencia autocrítica tras acción negativo,,,animal,,,,,,,,,,aterrador,,,,cúmulo astros cuerpo celeste,explosión,,,,,,,,,,,,,,,,,,,,,,luz,,,,,,,cualidad poder observar facilidad,,,,,,,,,,,,espacio alumno,,,sombra,,,,['alto movimiento'],,retribución económico obrero,,,,,,,,,,,,,,escape rutín,,
,resistencia,muerte,,,,['mañana'],,,,,estilo,,perro,,,,,,,,sueño,cigarro,,,,,mezcla sencillo alimento animal vegetal,,anabelle,campesino,,contaminar,,soberbio sabor,desfachatez,,,,,,,,,,,,,,,,,cúmulo astros cuerpo celeste,generalmente jala dedo índice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,buen calidad,,,,,,,,,,,,superficie tomar nota,,,espejo,,,,['conmoción'],,dinero,,,,,,,,,,,,,,necesitar dinero,,
,perseverancia,negro,,,,['tufo'],,,,,marcar ropa,,lobo,,,,,,,,comodidad,borracho,,,,,platillo pueblo chileno,,hechacer,producción agrícola,,barco,,deleitar,sinvergüenzura,,,,,,,,,,,,,,,,,unidad territorial,arma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,puesto,,,percepción,,,,['inquietud'],,trabajo,,,,,,,,,,,,,,maravillar él,,
,valentia,puntiagudir,,,,['respirar bocar'],,,,,combinar,,manado,,,,,,,,seda,botellar,,,,,rico,,maleficio,rotación cultivo,,viaje,,exquisito,acción asociado cara palo,,,,,,,,,,,,,,,,,región espacio,pistola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mesa silla escuela,,,vision,,,,['perturbación'],,cansancio,,,,,,,,,,,,,,feliz,,
,prueba bala,dolor,,,,['impulso'],,,,,original,,grito,,,,,,,,suave,bar,,,,,pollo,,brujeer,sembrar,,vacación,,sabroso,,,,,,,,,,,,,,,,,,estrella central,disparo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,banco,,,agua,,,,['exaltación'],,compromiso,,,,,,,,,,,,,,reflexionar,,
,fuerte,afilar,,,,['apoyo'],,,,,ropa,,llamado,,,,,,,,libertad,establecimiento poder beber alcohol,,,,,casero,,encantamiento,florecer,,mar,,ricurar,,,,,,,,,,,,,,,,,,vía láctear,fuego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mesa,,,reacción,,,,"['actividad elevado', 'mucho vez', 'inesperado']",,compra,,,,,,,,,,,,,,,,
,hierro,veneno,,,,['motivar'],,,,,vestir él,,dolor,,,,,,,,sencillo,centro reunión borracho,,,,,campo,,magia,crecimiento,,titanic,,manjar dios,,,,,,,,,,,,,,,,,,gran distancia galaxias,disparador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,colegio,,,mostrar,,,,"['actividad elevado', 'mucho vez', 'inesperado']",,gasto,,,,,,,,,,,,,,,,
,dureza,clavar,,,,['olor'],,,,,moda,,bosque,,,,,,,,sexy,establecimiento característico viejo oeste,,,,,hogar,,maldición,esperanza,,oceano,,agasajo paladar,,,,,,,,,,,,,,,,,,infinidad galaxias universo,dedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infancia,,,ilusión,,,,,,familia,,,,,,,,,,,,,,,,
,amortiguar,picadura,,,,['hálito'],,,,,traje,,noche,,,,,,,,noche,termino antiguo referir él lugar beber alcohol,,,,,felicidad,,poder especial invocado palabra específico,preparar,,piscina,,sensación grata,,,,,,,,,,,,,,,,,,atracción gravitacional hacia andrómedir,muerte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tarea,,,,,,,,,rutín,,,,,,,,,,,,,,,,
,sufrir,órgano insecto,,,,['animar'],,,,,esmoquin,,soledad,,,,,,,,,negocio vender alcohol tender proporcionar alguno entretención,,,,,,,invocación evento supernatural,formar,,buffet,,experiencia placentera,,,,,,,,,,,,,,,,,,espiral,bala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,castigo,,,,,,,,,jefe,,,,,,,,,,,,,,,,
,dolor,punzante,,,,['exhalar'],,,,,gala,,sonido agudo,,,,,,,,,negocio vender alcohol tender proporcionar alguno entretención,,,,,,,capacidad desafíar ciencia,surgir,,turismo,,,,,,,,,,,,,,,,,,,,estrella,metal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,estudiar,,,,,,,,,fin mes,,,,,,,,,,,,,,,,
,capacidad físico psicológico,pinchazo,,,,['acompañar'],,,,,disfraz,,perro,,,,,,,,,alcohol,,,,,,,ruego apelar fuerza superior,dedicación,,barco lujo,,,,,,,,,,,,,,,,,,,,amplio,palanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,profesor,,,,,,,,,,,,,,,,,,,,,,,,,
,capacidad físico psicológico,inflamación,,,,['olor'],,,,,vestido,,lobo,,,,,,,,,ebrio,,,,,,,,tierra,,vacación,,,,,,,,,,,,,,,,,,,,desconocido,arma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amigo,,,,,,,,,,,,,,,,,,,,,,,,,
,resistencia,dolor,,,,['mal olor'],,,,,casual,,comunidad,,,,,,,,,mal olor,,,,,,,,,,mar,,,,,,,,,,,,,,,,,,,,profundo,mecanismo usado disparar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,colacion,,,,,,,,,,,,,,,,,,,,,,,,,
,dureza,veneno,,,,['fuego'],,,,,formal,,familia,,,,,,,,,cerveza,,,,,,,,,,piscina,,,,,,,,,,,,,,,,,,,,oscuro,gato pequeño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,recrear,,,,,,,,,,,,,,,,,,,,,,,,,
,persistencia,pinchazo,,,,['dragon'],,,,,vestimento,,auxilio,,,,,,,,,hombre,,,,,,,,,,fiesta,,,,,,,,,,,,,,,,,,,,planeta,detonante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fuerza,avispa,,,,['comida'],,,,,ropa,,unidad,,,,,,,,,lleno gente,,,,,,,,,,caribir,,,,,,,,,,,,,,,,,,,,diverso,acción causa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,vitalidad,insecto,,,,['lavar él diente'],,,,,moda,,manado,,,,,,,,,musico,,,,,,,,,,mucho persona,,,,,,,,,,,,,,,,,,,,conocimiento,pieza arma fuego aprieta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,poder,abejo,,,,['bacteria'],,,,,buen estilo,,luna,,,,,,,,,decorativo,,,,,,,,,,titanic,,,,,,,,,,,,,,,,,,,,exploración,felino chiquito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dar exigencia,alergiar,,,,['contagio'],,,,,influencer,,ruido,,,,,,,,,comida,,,,,,,,,,oferta,,,,,,,,,,,,,,,,,,,,vacío,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,presente pelea,planta,,,,['calor'],,,,,red social,,molestia,,,,,,,,,popular,,,,,,,,,,acero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,probado tiempo,rosa,,,,['enjuaguir bucal'],,,,,costoso,,sonido animal imitable humano,,,,,,,,,,,,,,,,,,,barco enorme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hinchazon,,,,['exhalación'],,,,,tiendar retail,,actividad canino,,,,,,,,,,,,,,,,,,,transporte turístico mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
